scenario,seed,channel,lambda,par,fpr,fnr,par_zero,delta_proc,coupling_proxy
evacuation_recommendation,28,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
evacuation_recommendation,29,zone_permutation,0.0,0.9,0.0,0.1,0.9,0.0,1.0
evacuation_recommendation,30,zone_permutation,0.0,0.95,0.0,0.05,0.95,0.0,1.0
crowd_acceleration,1,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,2,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,3,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,4,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,5,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,6,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,7,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,8,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,9,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,10,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,11,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,12,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,13,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,14,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,15,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,16,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,17,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,18,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,19,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,20,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,21,zone_permutation,0.0,0.9091,0.0909,0.0,0.9091,0.0,1.0
crowd_acceleration,22,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
crowd_acceleration,23,zone_permutation,0.0,1.0,0.0,0.0,1.0,0.0,1.0
