scenario,baseline,metric,n,unique_values,mode_value,mode_fraction,std,cv_percent
multimodal_conflict,B5,false_positive_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B5,false_negative_rate,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
multimodal_conflict,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
normal_flow,B1,event_detection_accuracy,30,1,1.0,1.0,0.0,0.0
normal_flow,B1,false_positive_rate,30,1,0.0,1.0,0.0,
normal_flow,B1,false_negative_rate,30,1,0.0,1.0,0.0,
normal_flow,B1,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
normal_flow,B1,end_to_end_latency_ms,30,20,329.0,0.1,43.433269,13.34
normal_flow,B2,event_detection_accuracy,30,1,0.0,1.0,0.0,
normal_flow,B2,false_positive_rate,30,1,0.0,1.0,0.0,
normal_flow,B2,false_negative_rate,30,1,1.0,1.0,0.0,0.0
normal_flow,B2,explanation_completeness_score,30,1,0.0,1.0,0.0,
normal_flow,B2,end_to_end_latency_ms,30,20,317.0,0.1,22.566051,7.39
normal_flow,B3,event_detection_accuracy,30,1,1.0,1.0,0.0,0.0
normal_flow,B3,false_positive_rate,30,1,0.0,1.0,0.0,
normal_flow,B3,false_negative_rate,30,1,0.0,1.0,0.0,
normal_flow,B3,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
normal_flow,B3,end_to_end_latency_ms,30,20,362.0,0.1,22.566051,6.44
normal_flow,B4,event_detection_accuracy,30,1,0.0,1.0,0.0,
normal_flow,B4,false_positive_rate,30,1,1.0,1.0,0.0,0.0
normal_flow,B4,false_negative_rate,30,1,1.0,1.0,0.0,0.0
normal_flow,B4,explanation_completeness_score,30,1,0.0,1.0,0.0,
normal_flow,B4,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
normal_flow,B5,event_detection_accuracy,30,1,1.0,1.0,0.0,0.0
normal_flow,B5,false_positive_rate,30,1,0.027,1.0,0.0,0.0
normal_flow,B5,false_negative_rate,30,1,0.0,1.0,0.0,
normal_flow,B5,explanation_completeness_score,30,1,1.0,1.0,0.0,0.0
normal_flow,B5,end_to_end_latency_ms,30,20,179.0,0.1,22.566051,13.5
